"","Word","Count"
"346245","my best friend in the entire world",2
"348575","my prayer for you today is that",2
"355477","next game is going to be better",2
"356284","nice work if you can get it",2
"359899","not be forgotten as soon as you",2
"361214","not respond to a request for comment",2
"362446","novel gray rainbow journey limited time offer",2
"366379","of any choice with choice of 2",2
"369177","of humor is like a wagon without",2
"370247","of methamphetamine was booked at orange county",2
"371439","of possession of methamphetamine was booked at",2
"377759","office of the comptroller of the currency",2
"378646","oh oh oh oh oh oh oh",2
"379252","okay so today i was a bit",2
"383161","on suspicion of possession of methamphetamine was",2
"385098","on wednesday at the wallingford ct show",2
"385145","on what supporters said were fabricated charges",2
"395283","out the window block out the world",2
"401478","paul ashworth chief us economist at capital",2
"402011","peace comes from within do not seek",2
"402791","people have attained their greatest success just",2
"404936","person without a sense of humor is",2
"406234","pick up our strain of the day",2
"407145","pitched in the major leagues since the",2
"409133","player of the week award was the",2
"409918","please follow me i would do the",2
"409919","please follow me im a big fan",2
"412822","possession of methamphetamine was booked at orange",2
"414275","predict the future is to create it",2
"415512","pretty please with a cherry on top",2
"416249","prison on what supporters said were fabricated",2
"419370","prudently and in the best interests of",2
"425667","really long car rides with your family",2
"429481","remember that you are unique just like",2
"433725","rides with your family and you just",2
"441400","said paul ashworth chief us economist at",2
"441919","said the las vegas casino and hotel",2
"451860","sense of humor is like a wagon",2
"452686","served four years in prison on what",2
"460067","since the end of the 2010 season",2
"462937","smokers mistakenly believe vitamins protect them from",2
"465189","so today i was a bit and",2
"470193","spanish immersion students who live in the",2
"478609","street from 19th avenue to 17th avenue",2
"479691","students who live in the area of",2
"480616","success just one step beyond their greatest",2
"482055","sunday from 10 am to 5 pm",2
"482834","support you please follow me im a",2
"483878","suspicion of possession of methamphetamine was booked",2
"484702","system alert for tuesday november 22 2011",2
"491633","thank you thank you thank you for",2
"492064","thanks for the follow have a great",2
"492068","thanks for the follow i dont want",2
"492085","thanks for the follow looking forward to",2
"492541","thanks to all who came out to",2
"498365","that you are unique just like everyone",2
"498603","thats all i can say right now",2
"499427","the 2010 mlk high school battle of",2
"501808","the best way to predict the future",2
"504575","the constitutionality of the affordable care act",2
"505935","the department of elementary and secondary education",2
"506380","the dont ask dont tell policy that",2
"507815","the fcking best you the fcking best",2
"512576","the las vegas casino and hotel operator",2
"513184","the light at the end of the",2
"513727","the major leagues since the end of",2
"518461","the playoffs for the first time since",2
"520714","the rock and roll hall of fame",2
"521218","the same thing over and over again",2
"528518","their greatest success just one step beyond",2
"534614","theyre not going to go out and",2
"534633","theyre playing games on the backs of",2
"535903","think of all the money spent on",2
"536695","this account to support you please follow",2
"537736","this isnt the first time this has",2
"540016","those really long car rides with your",2
"546129","to all who came out to support",2
"546992","to be chosen to be a part",2
"547155","to be here for a long time",2
"548508","to classes aspen penn square mall athletic",2
"555850","to predict the future is to create",2
"558431","to support you please follow me im",2
"562179","today i was a bit and i",2
"562391","today pick up our strain of the",2
"565197","took home the gold medal in the",2
"574308","under house arrest with his wife daughter",2
"578541","urban active opens doors free in may",2
"586387","want to get out of bed this",2
"587320","was 01 with a 1215 era in",2
"587403","was a bit and i couldnt find",2
"592427","way to predict the future is to",2
"594052","we interview you and on wednesday at",2
"594742","we thought it would be fun to",2
"595761","wednesday at the wallingford ct show 83",2
"601528","what we do we would love to",2
"601536","what we have to do to win",2
"607239","who was not authorized to speak publicly",2
"611719","winning novel gray rainbow journey limited time",2
"612041","wish i could go back to high",2
"612454","with a 1215 era in two starts",2
"616588","with your family and you just blast",2
"616682","within do not seek it without buddha",2
"616762","without a sense of humor is like",2
"621553","would not be forgotten as soon as",2
"625261","years in prison on what supporters said",2
"626953","you and on wednesday at the wallingford",2
"627274","you are unique just like everyone else",2
"628996","you go to classes aspen penn square",2
"629890","you ipod look out the window block",2
"629952","you just blast you ipod look out",2
"630270","you light up my world like nobody",2
"631035","you please follow me im a big",2
"631806","you the fcking best you the fcking",2
"632010","you to everyone who came out and",2
"632011","you to everyone who came out to",2
"632803","you would not be forgotten as soon",2
"633857","your family and you just blast you",2
